site.sp,sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,poaching_level,protection_level,site_type
Atherurus africanus-NNN,Atherurus africanus,NNN,-0.015155626,stable,stable,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Atherurus macrourus-NAK,Atherurus macrourus,NAK,0.021068142,stable,stable,AS,LC,2000,MAMMALIA,Omnivore,Atherurus macrourus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Atherurus macrourus-PSH,Atherurus macrourus,PSH,0.387111274,stable,increasing,AS,LC,2000,MAMMALIA,Omnivore,Atherurus macrourus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Atilax paludinosus-BIF,Atilax paludinosus,BIF,-0.789438901,stable,stable,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Atilax paludinosus-KRP,Atilax paludinosus,KRP,1.771879626,increasing,increasing,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Atilax paludinosus-NNN,Atilax paludinosus,NNN,0.414156611,increasing,increasing,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Atilax paludinosus-UDZ,Atilax paludinosus,UDZ,0.098660331,stable,stable,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Baryphthengus martii-YAS,Baryphthengus martii,YAS,-0.294085579,stable,stable,LA,LC,195,AVES,Omnivore,Baryphthengus martii-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Bdeogale crassicauda-UDZ,Bdeogale crassicauda,UDZ,0.016380681,stable,stable,AF,LC,1550,MAMMALIA,Carnivore,Bdeogale crassicauda-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Bdeogale nigripes-KRP,Bdeogale nigripes,KRP,-0.322553636,stable,stable,AF,LC,2500,MAMMALIA,Carnivore,Bdeogale nigripes-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Bdeogale nigripes-NNN,Bdeogale nigripes,NNN,0.193647622,increasing,increasing,AF,LC,2500,MAMMALIA,Carnivore,Bdeogale nigripes-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Brachypteracias squamiger-RNF,Brachypteracias squamiger,RNF,0.1037473,stable,stable,AF,VU,170,AVES,Insectivore,Brachypteracias squamiger-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Cabassous centralis-BCI,Cabassous centralis,BCI,-0.178693722,stable,stable,LA,DD,3810,MAMMALIA,Insectivore,Cabassous centralis-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Cabassous unicinctus-CAX,Cabassous unicinctus,CAX,1.93E-16,stable,stable,LA,LC,4800,MAMMALIA,Insectivore,Cabassous unicinctus-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Cabassous unicinctus-CSN,Cabassous unicinctus,CSN,0.178913394,stable,stable,LA,LC,4800,MAMMALIA,Insectivore,Cabassous unicinctus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Cabassous unicinctus-MAN,Cabassous unicinctus,MAN,-1.27E-15,stable,stable,LA,LC,4800,MAMMALIA,Insectivore,Cabassous unicinctus-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Callosciurus erythraeus-PSH,Callosciurus erythraeus,PSH,-1.090137979,stable,decreasing,AS,LC,280,MAMMALIA,Herbivore,Callosciurus erythraeus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Canirallus kioloides-RNF,Canirallus kioloides,RNF,-0.254343769,decreasing,decreasing,AF,LC,269,AVES,Omnivore,Canirallus kioloides-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Canirallus oculeus-KRP,Canirallus oculeus,KRP,-0.224687848,stable,stable,AF,LC,277,AVES,Omnivore,Canirallus oculeus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Canis adustus-BIF,Canis adustus,BIF,-0.161785728,stable,stable,AF,LC,10250,MAMMALIA,Carnivore,Canis adustus-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Canis latrans-BCI,Canis latrans,BCI,0.425039755,stable,stable,LA,LC,11990,MAMMALIA,Carnivore,Canis latrans-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Capricornis milneedwardsii-NAK,Capricornis milneedwardsii,NAK,-0.931495341,stable,decreasing,AS,NT,160000,MAMMALIA,Herbivore,Capricornis milneedwardsii-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Capricornis sumatraensis-PSH,Capricornis sumatraensis,PSH,2.95E-16,stable,stable,AS,VU,140000,MAMMALIA,Herbivore,Capricornis sumatraensis-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Caracal aurata-BIF,Caracal aurata,BIF,-0.432945816,decreasing,decreasing,AF,NT,16000,MAMMALIA,Carnivore,Caracal aurata-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Caracal aurata-NNN,Caracal aurata,NNN,-0.113694781,stable,stable,AF,NT,16000,MAMMALIA,Carnivore,Caracal aurata-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus callipygus-NNN,Cephalophus callipygus,NNN,-0.406045524,decreasing,decreasing,AF,LC,18250,MAMMALIA,Herbivore,Cephalophus callipygus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus dorsalis-NNN,Cephalophus dorsalis,NNN,-0.037220555,stable,stable,AF,LC,20000,MAMMALIA,Omnivore,Cephalophus dorsalis-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus harveyi-UDZ,Cephalophus harveyi,UDZ,-0.152817089,decreasing,decreasing,AF,LC,14500,MAMMALIA,Herbivore,Cephalophus harveyi-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Cephalophus leucogaster-NNN,Cephalophus leucogaster,NNN,0.652507073,increasing,increasing,AF,LC,12700,MAMMALIA,Herbivore,Cephalophus leucogaster-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus nigrifrons-BIF,Cephalophus nigrifrons,BIF,0.154537377,stable,stable,AF,LC,13900,MAMMALIA,Herbivore,Cephalophus nigrifrons-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cephalophus nigrifrons-NNN,Cephalophus nigrifrons,NNN,-0.262427678,stable,stable,AF,LC,13900,MAMMALIA,Herbivore,Cephalophus nigrifrons-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus ogilbyi-KRP,Cephalophus ogilbyi,KRP,-0.088357268,stable,decreasing,AF,LC,20000,MAMMALIA,Herbivore,Cephalophus ogilbyi-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cephalophus silvicultor-BIF,Cephalophus silvicultor,BIF,-0.267178634,decreasing,decreasing,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cephalophus silvicultor-KRP,Cephalophus silvicultor,KRP,3.44E-16,stable,stable,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cephalophus silvicultor-NNN,Cephalophus silvicultor,NNN,0.031190718,stable,stable,AF,LC,72500,MAMMALIA,Herbivore,Cephalophus silvicultor-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cephalophus spadix-UDZ,Cephalophus spadix,UDZ,1.44E-16,stable,stable,AF,EN,56000,MAMMALIA,Omnivore,Cephalophus spadix-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Cephalophus weynsi-BIF,Cephalophus weynsi,BIF,0.425039756,stable,stable,AF,LC,2001,MAMMALIA,Herbivore,Cephalophus weynsi-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cercocebus agilis-NNN,Cercocebus agilis,NNN,-0.399665534,decreasing,decreasing,AF,LC,8000,MAMMALIA,Omnivore,Cercocebus agilis-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cercocebus sanjei-UDZ,Cercocebus sanjei,UDZ,-0.010549663,stable,stable,AF,EN,8000,MAMMALIA,Omnivore,Cercocebus sanjei-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Cercocebus torquatus-KRP,Cercocebus torquatus,KRP,-0.374787739,stable,stable,AF,VU,7750,MAMMALIA,Omnivore,Cercocebus torquatus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cercopithecus lhoesti-BIF,Cercopithecus lhoesti,BIF,0.210590502,stable,stable,AF,VU,5375,MAMMALIA,Omnivore,Cercopithecus lhoesti-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cercopithecus mitis-BIF,Cercopithecus mitis,BIF,0.249256079,stable,stable,AF,LC,5000,MAMMALIA,Omnivore,Cercopithecus mitis-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cercopithecus mitis-UDZ,Cercopithecus mitis,UDZ,-0.04878506,stable,stable,AF,LC,5000,MAMMALIA,Omnivore,Cercopithecus mitis-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Cercopithecus nictitans-KRP,Cercopithecus nictitans,KRP,-0.658483545,stable,stable,AF,LC,5410,MAMMALIA,Omnivore,Cercopithecus nictitans-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cercopithecus nictitans-NNN,Cercopithecus nictitans,NNN,-3.75E-16,stable,stable,AF,LC,5410,MAMMALIA,Omnivore,Cercopithecus nictitans-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Chalcophaps indica-BBS,Chalcophaps indica,BBS,0.319918649,stable,increasing,AS,LC,107,AVES,Herbivore,Chalcophaps indica-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Chalcophaps indica-PSH,Chalcophaps indica,PSH,0.549999806,stable,increasing,AS,LC,107,AVES,Herbivore,Chalcophaps indica-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Civettictis civetta-BIF,Civettictis civetta,BIF,3.34E-11,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Civettictis civetta-KRP,Civettictis civetta,KRP,0.658483545,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Civettictis civetta-NNN,Civettictis civetta,NNN,-0.574394729,stable,decreasing,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Civettictis civetta-UDZ,Civettictis civetta,UDZ,-0.354420553,stable,stable,AF,LC,12000,MAMMALIA,Omnivore,Civettictis civetta-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Conepatus semistriatus-VB,Conepatus semistriatus,VB,-0.209612218,stable,stable,LA,LC,1200,MAMMALIA,Carnivore,Conepatus semistriatus-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Coua reynaudii-RNF,Coua reynaudii,RNF,-0.253967661,stable,decreasing,AF,LC,153,AVES,Omnivore,Coua reynaudii-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Crax alector-CSN,Crax alector,CSN,-0.017162228,stable,stable,LA,VU,3950,AVES,Omnivore,Crax alector-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Crax alector-MAN,Crax alector,MAN,0.529349439,stable,stable,LA,VU,3950,AVES,Omnivore,Crax alector-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Crax rubra-BCI,Crax rubra,BCI,0.131057141,stable,stable,LA,VU,3950,AVES,Omnivore,Crax rubra-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Crax rubra-VB,Crax rubra,VB,-0.197168595,decreasing,decreasing,LA,VU,3950,AVES,Omnivore,Crax rubra-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Cricetomys emini-BIF,Cricetomys emini,BIF,1.24385089,increasing,increasing,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cricetomys emini-KRP,Cricetomys emini,KRP,-1.259075163,stable,stable,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cricetomys emini-NNN,Cricetomys emini,NNN,1.096420419,increasing,increasing,AF,LC,1300,MAMMALIA,Omnivore,Cricetomys emini-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cricetomys gambianus-BIF,Cricetomys gambianus,BIF,0.268612047,increasing,increasing,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Cricetomys gambianus-NNN,Cricetomys gambianus,NNN,-0.324768408,decreasing,decreasing,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Cricetomys gambianus-UDZ,Cricetomys gambianus,UDZ,0.162107721,increasing,increasing,AF,LC,1285,MAMMALIA,Omnivore,Cricetomys gambianus-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Crocuta crocuta-UDZ,Crocuta crocuta,UDZ,-0.195700343,stable,stable,AF,LC,63000,MAMMALIA,Carnivore,Crocuta crocuta-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Crossarchus obscurus-KRP,Crossarchus obscurus,KRP,-0.1018996,stable,stable,AF,LC,1395,MAMMALIA,Omnivore,Crossarchus obscurus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Cryptoprocta ferox-RNF,Cryptoprocta ferox,RNF,0.22611005,stable,increasing,AF,VU,9500,MAMMALIA,Carnivore,Cryptoprocta ferox-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Crypturellus bartletti-COU,Crypturellus bartletti,COU,1.958402426,increasing,increasing,LA,LC,241,AVES,Omnivore,Crypturellus bartletti-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Crypturellus cinereus-COU,Crypturellus cinereus,COU,-1.771879626,decreasing,decreasing,LA,LC,575,AVES,Omnivore,Crypturellus cinereus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Crypturellus cinereus-CSN,Crypturellus cinereus,CSN,-0.057464514,stable,stable,LA,LC,575,AVES,Omnivore,Crypturellus cinereus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Crypturellus erythropus-CSN,Crypturellus erythropus,CSN,0.178913394,stable,stable,LA,LC,384,AVES,Omnivore,Crypturellus erythropus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Crypturellus soui-CAX,Crypturellus soui,CAX,0.658483545,stable,stable,LA,LC,220,AVES,Omnivore,Crypturellus soui-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Crypturellus soui-COU,Crypturellus soui,COU,0.81812762,increasing,increasing,LA,LC,220,AVES,Omnivore,Crypturellus soui-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Crypturellus soui-CSN,Crypturellus soui,CSN,-0.087076268,stable,stable,LA,LC,220,AVES,Omnivore,Crypturellus soui-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Crypturellus soui-YAS,Crypturellus soui,YAS,-0.458795091,decreasing,decreasing,LA,LC,220,AVES,Omnivore,Crypturellus soui-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Crypturellus strigulosus-CAX,Crypturellus strigulosus,CAX,1.93E-16,stable,stable,LA,LC,421,AVES,Omnivore,Crypturellus strigulosus-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Crypturellus undulatus-COU,Crypturellus undulatus,COU,0.658483545,stable,stable,LA,LC,300,AVES,Omnivore,Crypturellus undulatus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Crypturellus undulatus-YAS,Crypturellus undulatus,YAS,-0.205756199,stable,stable,LA,LC,300,AVES,Omnivore,Crypturellus undulatus-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Crypturellus variegatus-CAX,Crypturellus variegatus,CAX,-0.479836728,stable,decreasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Crypturellus variegatus-COU,Crypturellus variegatus,COU,2.616166152,increasing,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Crypturellus variegatus-CSN,Crypturellus variegatus,CSN,0.181481301,increasing,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Crypturellus variegatus-MAN,Crypturellus variegatus,MAN,1.282531571,stable,increasing,LA,LC,384,AVES,Omnivore,Crypturellus variegatus-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Crypturellus variegatus-YAS,Crypturellus variegatus,YAS,-0.22780431,stable,stable,LA,LC,384,AVES,Omnivore,Crypturellus variegatus-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Cuniculus paca-BCI,Cuniculus paca,BCI,0.141340386,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Cuniculus paca-CAX,Cuniculus paca,CAX,0.336857163,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Cuniculus paca-COU,Cuniculus paca,COU,0.35547265,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Cuniculus paca-CSN,Cuniculus paca,CSN,0.103204066,increasing,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Cuniculus paca-MAN,Cuniculus paca,MAN,-0.470003629,stable,stable,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Cuniculus paca-VB,Cuniculus paca,VB,-0.334178403,decreasing,decreasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Cuniculus paca-YAN,Cuniculus paca,YAN,0.22681957,stable,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Cuniculus paca-YAS,Cuniculus paca,YAS,0.208552908,stable,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
